Question,Answer
"An attempt to eradicate smallpox in this city in 1904 was halted in response to the Vaccine Revolt. In 1808, when the Portuguese royal family fled from Napoleon, they moved to this city. After 15 years, this city lost its status as the capital of Portugal, and in 1960 it lost its status as the capital of the country it is in. In 2018, this city was the site of a fire that destroyed millions of items in a national museum. Because of the Zika [ZEE-kuh] virus epidemic, some athletes were afraid to compete in this city when it hosted the Olympics in 2016. Name this city that used to be the capital of Brazil.","Rio de Janeiro, Brazil [prompt on Rio]"
"One group of these things is Seyfert’s [SEE-furt’s] Sextet, and some examples of these things with luminous centers are also named for Seyfert. Filaments named after these things can be enormous, such as the Perseus–Pegasus example. One classification system for these things, which uses ‘E’ followed by a number on one side and ‘S’ followed by a number on the other side, is the Hubble tuning-fork diagram. The nearest large example of these things outside the one we are in is Andromeda. Name these systems of stars that are classified as elliptical, spiral, or irregular, and which include our own Milky Way.",galaxy/ies
"The built-in type of this quantity is blamed on the expectations of both consumers and workers. The type of this quantity caused by inputs such as labor and materials is called cost-push, and the Phillips curve explains the demand-pull type. The core type of this quantity is measured by ignoring food and energy. The Fisher equation adds this quantity to the real interest rate to calculate the nominal interest rate. When this quantity is too high, the federal reserve usually increases interest rates to slow down the economy. This quantity is measured by changes in the consumer price index. Name this general increase in prices over time.",inflation rate
This quantity has a coeﬀicient of resistance that is positive in pure metals but negative in most insulators. Wien’s [veen’z] displacement constant is divided by this quantity to find the peak wavelength for radiance. The Stefan [steh-FAHN]–Boltzmann law states that energy emitted from a surface is proportional to the fourth power of this quantity. The third law of thermodynamics is about entropy at the minimum value of this quantity. This quantity is proportional to the average kinetic energy of molecules. This quantity is multiplied by moles and the ideal gas constant in the ideal gas law. Name this quantity measured in kelvins.,absolute temperature
"When a barber arranges a situation so that this character is bloodied, a curate and another church oﬀicial laugh at him. This character is bloodied by the goat-herd after the barber describes this man as “the undoer of injustice, the righter of wrongs, the protector of damsels, the terror of giants, and the winner of battles”. Much earlier, the barber joined this character’s niece, housekeeper, and priest in burning this man’s books of chivalry. This character’s horse is Rocinante [roh-see-NAHN-tay], and his squire is Sancho Panza. Name this character from La Mancha who attacks windmills in books by Miguel de Cervantes.",Don Quixote [dohn kee-HOH-tay] (de La Mancha) [or Don Quijote or Alonso Quijano or Alonso Quijano or Alonso Quixada or Alonso Quesada or Alonso Quexana]
"In one song by this composer, death behaves like a field marshal. That song comes after a song in which death convinces a peasant to perform a trepak [truh-PAHK] dance in this composer’s Songs and Dances of Death. Another piece by this composer begins with high-pitched strings and woodwinds followed by slow brass notes representing demons. That piece was one of the works by this composer that Nikolay Rimsky–Korsakov claimed to have corrected. Maurice Ravel [rah-vell] re-orchestrated this composer’s piano suite inspired by paintings by Viktor Hartmann. Name this Russian composer of Pictures at an Exhibition and Night on Bald Mountain.",Modest (Petrovich) Mussorgsky
"A siege of a city on this island started in 1648, lasted 21 years, and gained control of the city of Candia. This island was the site of the ancient city of Lato [LAH-toh], which was inhabited by the Dorians. A very early civilization on this island was devastated by a volcanic eruption to its north on the island of Thira [THEE-ruh], which is also known as Santorini. This island is the main site where the scripts Linear A and Linear B have been found. This island’s palace of Knossos [NAH-sus] was unearthed by Arthur Evans, and it was built by the Minoan [mih-NOH-un] civilization. Name this island that is now the largest and most populous of the Greek islands.",Crete [or Kriti]
"In one story by this writer, a rich man tells his son “Money is successful every time.” The son in this writer’s story replies that the woman he loves is going to Europe and “We can’t buy one minute of time with money”, so the father arranges a traﬀic jam. In another story by this writer, a boy says “I don’t have any fun at home. I hate to go to school. I like to camp out.” This writer describes that boy eventually being taken home along with 250 dollars. In another story by this writer, Della sells her hair so she can buy a platinum pocket-watch chain for her husband, Jim. Name this author of “Mammon and the Archer”, “The Ransom of Red Chief”, and “The Gift of the Magi”.",O. Henry [or William Sydney Porter]
"The handling of this substance sometimes includes a jar test to determine the best ways to perform coagulation and flocculation to improve this substance’s turbidity. This substance changes hydrogen chloride into hydrochloric acid. The ionic product of this substance is 10 to the −14th power. The freezing and boiling points of this compound were used to define the Celsius scale, putting those points at zero and 100 hundred degrees. Name this “universal solvent”, each molecule of which consists of two hydrogen atoms and one oxygen atom.",water [accept H2 O before “hydrogen”]
"After this person was president of the United States, he chaired two commissions that reorganized the Executive Department, leading to the creation of the White House Chief of Staff position. As president, this person signed the Agricultural Marketing Act, which created the Federal Farm Board. This person oversaw the creation of an agency that loaned money to railroads and small banks to prevent closures, the Reconstruction Finance Corporation. A series of homeless encampments were named for this president, who lost re-election in a landslide in 1932. Name this president who was in power during the start of the Great Depression.",Herbert (Clark) Hoover [prompt on Hoovervilles]
"In one story by this writer, a woman is told that her mother never loved her even for a minute, and her sister does not like her either. That message is given by a talking monkey who likes to steal names. This writer put that story and its follow-up in the collections Blind Willow, Sleeping Woman and First Person Singular. In a novel by this writer, one woman’s job is to kill men who have committed domestic violence, and she investigates the manuscript of Air Chrysalis. That novel by this author is narrated by Tengo, Ushikawa, and Aomame [ah-oh-mah-may]. Name this writer of the novel 1Q84 [“one Q eighty-four”].",Haruki Murakami
"Some parts of this organ are the scapha [SKAF-uh], helix, and triangular fossa [FAW-suh]. This organ can help dissipate heat, especially in animals with large ones such as caracals [KAIR-uh-kalz] and fennec foxes. A region inside this organ, the bony labyrinth, contains the semi-circular canals and the organ of Corti [KOR-tee], the later of which is inside the cochlea [“COKE”-lee-uh]. This organ is connected to the pharynx [“FAIR-inks”] by the Eustachian [yoo-STAY-shin] tube. This organ has three very small bones called the malleus [MAL-ee-uss], incus, and stapes [STAY-peez], whose names mean “hammer”, “anvil”, and “stirrup”. A common infection of this organ is otitis [oh-“TIE”-tiss] media. Name this organ used for hearing.",ears
"In one novel by this author, Tom often says “If this man had not twelve thousand a year, he would be a very stupid fellow” in reference to Mr. Rushworth. In this author’s third novel, Rushworth marries Tom’s younger sister Maria, who is part of the Bertram family, which takes in but mistreats the protagonist, Fanny Price. Another novel by this author begins with the arrival of Mr. Bingley, who eventually marries Jane, the oldest of five sisters. In that novel, this author described the relationship between Fitzwilliam Darcy and Elizabeth Bennet. Name this author of Mansfield Park and Pride and Prejudice.",Jane Austen
"Starting in 2015, a major cleaning of this building took place using bamboo scaffolding and a mud paste called Fuller’s earth. The original primary architect of this building also played a major role in designing the Red Fort. Historians disagree as to whether there were plans to build a black building that would be connected to this building by a bridge. Many of the precious stones in this building were stolen by English soldiers in 1857. This building was completed in 1653 to honor the third and favorite wife of Shah Jahan. Name this building in Agra, India.",Taj Mahal
"A temple in Washington, D.C. features two of these creatures representing the Temple of Solomon pillars Jachin [yah-KEEN] and Boaz. Sculptures of these mythological creatures are believed to have been placed in front of ancient temples to protect the temples. Anybody who could destroy this creature could take over the kingdom led by King Creon [KREE-ahn], and that turnover of power happened when this creature jumped off a mountain. This creature killed itself because Oedipus [ED-uh-puss] gave the answer “Man” in response to this creature’s riddle. Name this creature that has a human head and lion’s body [pause] and is depicted on a “great” sculpture in Egypt.",sphinxes
"This TV show is a reboot of the 2003 show that first made Carson Kressley famous. Special episodes of this show have included a show about a Delta Air Lines employee with student debt, four episodes in Japan, and an episode in the town of Yass, Australia. The regulars on this show are Bobby Berk, Antoni Porowski, Tan France, Karamo [kuh-RAH-moh] Brown, and Jonathan Van Ness. One of the episodes of this show focuses on improvements to a church community center in Gay, Georgia. Name this Netflix reality show in which a team of LGBTQ people turn around people’s lives.",Queer Eye [accept Queer Eye for the Straight Guy or Queer Eye: More than a Makeover; accept answers that additionally specify the 2018 or current version]
